,Location,Opponent Title,Game Result,Year,Distance
0,vs,Indiana,W,2009,0
1,vs,Washington,W,2009,0
2,@,Charlotte,W,2009,811
3,@,Toronto,W,2009,944
4,@,New Jersey,L,2009,559
5,vs,Boston,L,2009,782
6,@,Sacramento,W,2009,3260
7,@,Golden State,W,2009,121
8,@,Los Angeles,W,2009,559
9,@,Phoenix,L,2009,575
10,vs,Cleveland,W,2009,2721
11,@,Boston,L,2009,987
12,vs,Minnesota,L,2009,987
13,vs,New York,W,2009,0
14,vs,Milwaukee,W,2009,0
15,vs,Portland,L,2009,0
16,@,San Antonio,W,2009,1993
17,vs,Philadelphia,L,2009,1993
18,@,New York,L,2009,775
19,@,Washington,L,2009,328
20,vs,Indiana,W,2009,635
21,@,Charlotte,W,2009,811
22,vs,Washington,W,2009,811
23,vs,Utah,L,2009,0
24,@,Atlanta,L,2009,960
25,vs,Chicago,W,2009,960
26,vs,Oklahoma City,W,2009,0
27,@,Milwaukee,W,2009,406
28,vs,Orlando,W,2009,406
29,vs,New Jersey,W,2009,0
30,vs,Sacramento,W,2009,0
31,@,LA,W,2009,3192
32,@,Portland,L,2009,1328
33,@,Denver,W,2009,1582
34,@,Utah,L,2009,598
35,vs,Charlotte,L,2009,2401
36,@,Indiana,L,2009,387
37,@,Oklahoma City,L,2009,1109
38,vs,New Orleans,L,2009,1465
39,@,Memphis,W,2009,1002
40,vs,Toronto,W,2009,1002
41,vs,Dallas,L,2009,0
42,vs,Houston,L,2009,0
43,@,Minnesota,W,2009,874
44,vs,Boston,L,2009,874
45,vs,Cleveland,L,2009,0
46,vs,Miami,W,2009,0
47,@,Milwaukee,W,2009,406
48,vs,Phoenix,L,2009,406
49,@,Chicago,L,2009,382
50,vs,Atlanta,L,2009,382
51,vs,Milwaukee,L,2009,0
52,vs,San Antonio,L,2009,0
53,@,Cleveland,L,2009,145
54,@,Miami,L,2009,1751
55,@,New Orleans,L,2009,1078
56,@,Orlando,W,2009,860
57,@,Boston,W,2009,1794
58,vs,Denver,W,2009,987
59,vs,Golden State,W,2009,0
60,@,Atlanta,L,2009,960
61,vs,Orlando,W,2009,960
62,vs,New York,L,2009,0
63,@,Toronto,W,2009,333
64,vs,Memphis,L,2009,333
65,@,Dallas,L,2009,1609
66,@,Houston,L,2009,361
67,vs,LA,W,2009,1779
68,vs,Miami,L,2009,0
69,@,Chicago,L,2009,382
70,vs,Los Angeles,L,2009,382
71,@,Washington,W,2009,635
72,vs,Philadelphia,W,2009,635
73,@,Cleveland,L,2009,145
74,@,New Jersey,L,2009,658
75,@,Philadelphia,L,2009,129
76,vs,Charlotte,W,2009,712
77,@,New York,W,2009,775
78,vs,New Jersey,W,2009,775
79,@,Indiana,L,2009,387
80,vs,Chicago,L,2009,387
81,@,Miami,L,2009,1856
